Feature,F1 Score Change
Weight_Tact_Time,0.09141950960766748
Weight_Pressure,0.00976379928461163
Workorder,0.002754421032852228
PalletID Collect Result_Fill2,0.0004911720257402274
HEAD NORMAL COORDINATE X AXIS(Stage3) Collect Result_Fill1,0.00023818123335289654
DISCHARGED TIME OF RESIN(Stage1) Collect Result_Fill1,0.00010187998170146928
Head Zero Position Z Collect Result_Dam,-0.00021793063075131736
CURE START POSITION Θ Collect Result_Dam,-0.0004164966808074544
HEAD Standby Position X Collect Result_Dam,-0.00044243078850320083
Equipment,-0.00046289732870119504
Dispense Volume(Stage2) Collect Result_Dam,-0.0004836961240145543
Dispense Volume(Stage3) Collect Result_Fill1,-0.0006657181284283054
2nd Pressure Unit Time_AutoClave,-0.0006781952826180881
CURE END POSITION Z Collect Result_Dam,-0.0006984278314895453
Dispense Volume(Stage3) Collect Result_Dam,-0.000832498048616348
DISCHARGED TIME OF RESIN(Stage2) Collect Result_Dam,-0.0008343113771474009
THICKNESS 3 Collect Result_Dam,-0.0008638077348614437
Receip No Collect Result_Dam,-0.0009199238857364733
Head Purge Position Y Collect Result_Fill1,-0.0009406819910648401
Dispense Volume(Stage1) Collect Result_Fill1,-0.0011200486732312331
CURE SPEED Collect Result_Fill2,-0.0011279643082510171
Head Clean Position Z Collect Result_Dam,-0.0011312359365942548
CURE SPEED Collect Result_Dam,-0.0012182477201718722
HEAD Standby Position Y Collect Result_Dam,-0.0012282793206247478
Production Qty Collect Result_Fill1,-0.0012673568434700688
Head Purge Position Y Collect Result_Fill2,-0.0012755474115748178
Chamber Temp. Unit Time_AutoClave,-0.0013602728188557567
HEAD NORMAL COORDINATE Z AXIS(Stage2) Collect Result_Fill1,-0.0013753254645942348
HEAD NORMAL COORDINATE X AXIS(Stage1) Judge Value_Dam,-0.0013839482582629348
Dispense Volume(Stage2) Collect Result_Fill1,-0.0014277798380780693
PalletID Collect Result_Dam,-0.0014288048624417904
CURE END POSITION Θ Collect Result_Dam,-0.0014515004068305082
