Feature,Importance
Workorder,16.104160465859593
Production Qty Collect Result_Dam,6.741211492163745
Pressure Variation,5.156010993778636
PalletID Collect Result_Dam,4.5560465337581615
Average Pressure,3.9208570853807916
Machine Tact time Collect Result_Fill2,3.863271512967368
PalletID Collect Result_Fill1,3.259810462164319
Chamber Temp. Collect Result_AutoClave,3.1761874058479265
Machine Tact time Collect Result_Dam,3.1028639143992858
Machine Tact time Collect Result_Fill1,2.8950067464048295
LOG_TEMP_CHANGE_RATE_AutoClave,2.652817823430639
Receip No Collect Result_Dam,2.5258831652181217
1st Pressure Collect Result_AutoClave,2.4529535583519193
PalletID Collect Result_Fill2,2.3560977468380444
Pressure Change Rate (Stage 1),2.273749285061154
2nd Pressure Collect Result_AutoClave,2.2574681701532864
3rd Pressure Collect Result_AutoClave,2.1084418075087084
Average_Discharged_Time_Fill1,1.9603127764057406
Average_Discharged_Time_Dam,1.8423391880664866
Pressure Change Rate (Stage 2),1.823933367829447
Pressure Change Rate (Stage 3),1.7705061509621742
Production Qty Collect Result_Fill1,1.7696088219100032
Std_Dam_X,1.0591930023180476
DISCHARGED TIME OF RESIN(Stage2) Collect Result_Fill1,0.9996952588434632
Production Qty Collect Result_Fill2,0.9346220122633191
Equipment,0.8275222390722382
DISCHARGED TIME OF RESIN(Stage1) Collect Result_Fill1,0.7890566583079667
HEAD NORMAL COORDINATE X AXIS(Stage1) Collect Result_Dam,0.7869906004016111
DISCHARGED TIME OF RESIN(Stage2) Collect Result_Dam,0.7715500034702983
DISCHARGED TIME OF RESIN(Stage3) Collect Result_Fill1,0.7512471183604864
Model.Suffix,0.7497551051816506
DISCHARGED TIME OF RESIN(Stage3) Collect Result_Dam,0.7082307483598559
Receip No Collect Result_Fill1,0.6723067343722802
DISCHARGED TIME OF RESIN(Stage1) Collect Result_Dam,0.6098826606044345
HEAD NORMAL COORDINATE Y AXIS(Stage2) Collect Result_Dam,0.5773120657774083
HEAD NORMAL COORDINATE X AXIS(Stage2) Collect Result_Dam,0.5638087833053389
HEAD NORMAL COORDINATE X AXIS(Stage3) Collect Result_Dam,0.5358466791217825
Dispense Volume(Stage2) Collect Result_Dam,0.4881744294834301
Std_Fill1_Y,0.4113064149607206
HEAD NORMAL COORDINATE Z AXIS(Stage3) Collect Result_Fill1,0.40921568372822137
Dispense Volume(Stage2) Collect Result_Fill1,0.40713589936145406
